Contract#;Serial;Model Name;Item Code;Item Name;Location Name;LFV
R50289/23;QHP06756;IRA4245;8030B012AA;IR-ADV 4245 BRZ;ASSOCIACAO UNIVERSITARIA INTERAMERICANA;30.01.01
R6397/16;QLV01911;IRA500IF;6859B011AA;IR-ADV 500IF BRZ;ALMEIDA ROTENBERG BOSCOLI SOC ADVOGADOS;35.01.01
R50289/23;QTW14735;IAC3325;8478B016AA;IR-ADV C3325I 120V BRZ;ASSOCIACAO UNIVERSITARIA INTERAMERICANA;25.01.03
R50289/23;UPN00542;IRA4551;1408C022AA;IR-ADV 4551I 230V BRZ;ASSOCIACAO UNIVERSITARIA INTERAMERICANA;81.21.01
R15312/17;WSE01071;IAC3525I;1493C020AA;IR-ADV C3525I 120V BRZ;BEACON SCHOOL ENSINO INTEGRADO LTDA;81.21.01
R15312/17;WSE01084;IAC3525I;1493C020AA;IR-ADV C3525I 120V BRZ;BEACON SCHOOL ENSINO INTEGRADO LTDA;81.21.01
R15312/17;XLN03038;IRAC5535;0605C014AA;IR-ADV C5535I 120V BRZ;BEACON SCHOOL ENSINO INTEGRADO LTDA;81.21.01
R15312/17;XTK04917;IAC3525I;1493C052AA;IR-ADV C3525I 120V 2 BRZ;BEACON SCHOOL ENSINO INTEGRADO LTDA;81.21.01
R50289/23;XTK07605;IAC3525I;1493C052AA;IR-ADV C3525I 120V 2 BRZ;ASSOCIACAO UNIVERSITARIA INTERAMERICANA;81.21.01
R15363/18;HHJ05134;IR1740;4746B014AA;IR-1740 120V BR;SERBOM ARMAZENS GERAIS FRIGORIFICOS LTDA;80.03.01
R25603/19A;2QC01290;IRC356IF;3312C015AA;IR-ADV C356IF 3 120V BRZ;BETC HAVAS AGENCIA DE PUBLICIDADE LTDA;51.25.01
R25603/19A;2GU01608;IAC3530I;3278C014AA;IR-ADV C3530I 3 120V BRZ;BETC HAVAS AGENCIA DE PUBLICIDADE LTDA;51.25.01
R25603/19A;2GU01596;IAC3530I;3278C014AA;IR-ADV C3530I 3 120V BRZ;BETC HAVAS AGENCIA DE PUBLICIDADE LTDA;51.25.01
R25603/19;2NS00648;IPRC910;3238C026AA;IPR C910 C/ SER G250 BRZ;BETC HAVAS AGENCIA DE PUBLICIDADE LTDA;28.01.01
R26891/19;WVS02066;IRC3025I;1567C008AA;IR-ADV C3025I LTN BRZ;ASICS BRASIL DISTRIBUICAO E COMERCIO DE ARTIGOS ESPORTIVOS L;35.02.01
R26891/19;WVS02070;IRC3025I;1567C008AA;IR-ADV C3025I LTN BRZ;ASICS BRASIL DISTRIBUICAO E COMERCIO DE ARTIGOS ESPORTIVOS L;35.02.01
R26891/19;2TP02127;IR1643;3630C014AA;IR1643IF 120V BRZ;ASICS BRASIL DISTRIBUICAO E COMERCIO DE ARTIGOS ESPORTIVOS L;11.06.01
R26891/19;WVS02065;IRC3025I;1567C008AA;IR-ADV C3025I LTN BRZ;ASICS BRASIL DISTRIBUICAO E COMERCIO DE ARTIGOS ESPORTIVOS L;35.02.01
R26891/19;WVS02166;IRC3025I;1567C008AA;IR-ADV C3025I LTN BRZ;ASICS BRASIL DISTRIBUICAO E COMERCIO DE ARTIGOS ESPORTIVOS L;35.02.01
R2719/08;QLV02768;IRA500IF;6859B011AA;IR-ADV 500IF BRZ;COTECNA SERVICOS LTDA;35.01.01
R2168/06;2RW04735;IRA4525I;3327C016AA;IR-ADV 4525I 3 120V BR;MAYEKAWA DO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA;51.21.01
R2168/06;2TP07702;IR1643;3630C014AA;IR1643IF 120V BRZ;MAYEKAWA DO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA;11.06.01
R2168/06;2TP07680;IR1643;3630C014AA;IR1643IF 120V BRZ;MAYEKAWA DO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA;11.06.01
R2168/06;2TP07698;IR1643;3630C014AA;IR1643IF 120V BRZ;MAYEKAWA DO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA;11.06.01
R2168/06;2RW04727;IRA4525I;3327C016AA;IR-ADV 4525I 3 120V BR;MAYEKAWA DO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA;51.21.01
R15312/17;2GH10919;IAC3525I;3279C013AA;IR-ADV C3525I 3 120V BR;BEACON SCHOOL ENSINO INTEGRADO LTDA;51.25.01
R15312/17;2TP05914;IR1643;3630C014AA;IR1643IF 120V BRZ;BEACON SCHOOL ENSINO INTEGRADO LTDA;11.06.01
R2168/06;2RW05007;IRA4525I;3327C016AA;IR-ADV 4525I 3 120V BR;MAYEKAWA DO BRASIL EQUIPAMENTOS INDUSTRIAIS LTDA;51.21.01
R15312/17;2TQ02334;IR1643;3630C003AA;IR1643IF BR 120V;BEACON SCHOOL ENSINO INTEGRADO LTDA;11.06.01
R15312/17;2TQ02432;IR1643;3630C003AA;IR1643IF BR 120V;BEACON SCHOOL ENSINO INTEGRADO LTDA;11.06.01
R15312/17;2GH14202;IAC3525I;3279C013AA;IR-ADV C3525I 3 120V BR;BEACON SCHOOL ENSINO INTEGRADO LTDA;51.25.01
R6579/18;2WQ06008;IRA525IF;3647C012AA;IR-ADV 525IF 3 120V BR;COMERCIO E IMPORTACAO SERTIC LTDA;51.21.01
R2719/08;2TQ02677;IR1643;3630C003AA;IR1643IF BR 120V;COTECNA SERVICOS LTDA;11.06.01
R25646/19;2TQ07129;IR1643;3630C003AA;IR1643IF BR 120V;COTECNA SERVICOS LTDA.;11.06.01
R51822/23;2TQ17280;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ17280;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ17432;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51822/23;2TQ17432;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ17843;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51822/23;2TQ17843;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ18193;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ17803;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ17804;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ17805;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ18312;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ18022;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ17893;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ18199;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ18014;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ18013;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ18025;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ17799;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ17813;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51823/23;2TQ17813;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ17822;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51823/23;2TQ17822;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ18302;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51823/23;2TQ18302;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ18310;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
R51820/23;2TQ17935;IR1643;3630C003AA;IR1643IF BR 120V;MALABAR COMERCIAL DE VEICULOS LTDA;11.06.01
